source,name,geo_state,geo_name
ifi,East West Singhbhum,Jharkhand,~
ifi,West East Jaintia Hills,Meghalaya,~
ifi,Paschim Purba Bardhaman,West Bengal,Paschim Barddhaman
ifi,South Salmara Mancachar- Mankachar,Assam,South Salmara-Mankachar
ifi,South Salmara Mancachar - Mankachar,Assam,South Salmara-Mankachar
ifi,Bhadradri Bhadradri Kothagudem Bhadradri Kothagudem,Telangana,Bhadradri
ifi,South Assam,Assam,~
ifi,South Gujarat,Gujarat,~
ifi,South Kashmir,Jammu and Kashmir,~
ifi,West Madhya Pradesh,Madhya Pradesh,~
ifi,Chikodi,Karnataka,~
ifi,Mudigere,Karnataka,~
ifi,Mangalore,Karnataka,Dakshina Kannada
ifi,West Purba Purba Medinipur,West Bengal,~
